Galaxy Name,m-M,err,D,Method,REFCODE,RA,Dec,GLON,GLAT,Type (RC3),Vgsr (RC3)
,(mag),(mag),(Mpc),,,(J2000),(J2000),,,,(km/s)
NGC 3982,31.91,0.14,24.1,SNIa,2005ApJ...624..532R,56:28.1,+55:07:30.6,138.8,60.3,SXR3*,1184
NGC 3982,32.41,0.74,30.3,Sosies,2002A&A...393...57T,56:28.1,+55:07:30.6,138.8,60.3,SXR3*,1184
NGC 3987,33.92*,0.26,59.9,SNIa,2006ApJ...645..488W,57:20.9,+25:11:43.4,218.9,77.7,S..3,4475
NGC 3987,34.08,0.14,65.5,SNIa,2005ApJ...624..532R,57:20.9,+25:11:43.4,218.9,77.7,S..3,4475
NGC 3987,34.13*,0.23,66,SNIa,2004ApJ...607..665R,57:20.9,+25:11:43.4,218.9,77.7,S..3,4475
NGC 3990,30.06,0.28,10.3,SBF,2001ApJ...546..681T,57:35.6,+55:27:31.2,138.3,60,L..-*/,776
"M109; NGC 3992",31.46,...,19.6,Tully-Fisher,2003astro.ph.10284R,57:35.9,+53:22:28.3,140.1,61.9,SBT4,1121
"M109; NGC 3992",31.47,...,19.7,Tully-Fisher,2003astro.ph.10284R,57:35.9,+53:22:28.3,140.1,61.9,SBT4,1121
"M109; NGC 3992",31.58,...,20.7,Tully-Fisher,2003astro.ph.10284R,57:35.9,+53:22:28.3,140.1,61.9,SBT4,1121
"M109; NGC 3992",31.68,...,21.7,Tully-Fisher,2003astro.ph.10284R,57:35.9,+53:22:28.3,140.1,61.9,SBT4,1121
"M109; NGC 3992",31.96,...,24.7,Tully-Fisher,LEDA [Nov 2006],57:35.9,+53:22:28.3,140.1,61.9,SBT4,1121
NGC 3998,30.75,0.19,14.1,SBF,2001ApJ...546..681T,57:56.1,+55:27:12.7,138.2,60.1,LAR0$,1129
NGC 3998,32.78,...,36,FP,LEDA [April 2006],57:56.1,+55:27:12.7,138.2,60.1,LAR0$,1129
NGC 4024,32.55,0.48,32.3,SBF,2001MNRAS.327.1004B,58:31.3,-18:20:48.6,285.7,42.8,LX.-,1495
NGC 4024,31.91,0.41,24.1,FP,2001MNRAS.327.1004B,58:31.3,-18:20:48.6,285.7,42.8,LX.-,1495
NGC 4017,33.58,0.56,52,Sosies,2002A&A...393...57T,58:45.6,+27:27:11.0,208.3,78.3,SX.4,3434
IC 0750,32.83,0.13,36.8,Sosies,2002A&A...393...57T,58:52.2,+42:43:20.9,154,71.1,S..2*/,740
UGC 06983,31.96,...,24.7,Tully-Fisher,2003astro.ph.10284R,59:09.3,+52:42:27.0,140.3,62.6,SBT6,1151
UGC 06983,31.96,...,24.7,Tully-Fisher,2003astro.ph.10284R,59:09.3,+52:42:27.0,140.3,62.6,SBT6,1151
UGC 06983,32.04,...,25.6,Tully-Fisher,2003astro.ph.10284R,59:09.3,+52:42:27.0,140.3,62.6,SBT6,1151
UGC 06983,32.09,...,26.2,Tully-Fisher,2003astro.ph.10284R,59:09.3,+52:42:27.0,140.3,62.6,SBT6,1151
NGC 4026,30.67,0.28,13.6,SBF,2001ApJ...546..681T,59:25.2,+50:57:42.1,141.9,64.2,L..../,995
NGC 4026,31.38,...,18.9,FP,LEDA [April 2006],59:25.2,+50:57:42.1,141.9,64.2,L..../,995
NGC 4030,32.09,...,26.2,Tully-Fisher,2003astro.ph.10284R,00:23.6,-01:06:00.0,277.4,59.2,SAS4,1348
NGC 4030,32.46,...,31,Tully-Fisher,LEDA [Nov 2006],00:23.6,-01:06:00.0,277.4,59.2,SAS4,1348
NGC 4030,32.64,...,33.7,Tully-Fisher,2003astro.ph.10284R,00:23.6,-01:06:00.0,277.4,59.2,SAS4,1348
NGC 4033,31.62,0.23,21.1,SBF,2001ApJ...546..681T,00:34.7,-17:50:33.4,286.2,43.4,E.6,1411
NGC 4033,31.67,0.23,21.6,SBF,2001MNRAS.327.1004B,00:34.7,-17:50:33.4,286.2,43.4,E.6,1411
NGC 4033,31.76,0.41,22.5,FP,2001MNRAS.327.1004B,00:34.7,-17:50:33.4,286.2,43.4,E.6,1411
NGC 4038/39,30.7,0.25,13.8,TRGB,2004AJ....127..660S,01:52.9,-18:52:09.9,287,42.5,SBS9P,1470
NGC 4038/39,30.58,...,13.1,Tully-Fisher,LEDA [April 2006],01:52.9,-18:52:09.9,287,42.5,SBS9P,1470
NGC 4050,33.21,0.31,43.9,Sosies,2002A&A...393...57T,02:53.9,-16:22:25.0,286.4,44.9,SBR2,1617
NGC 4051,30.72,...,13.9,Tully-Fisher,2003astro.ph.10284R,03:09.6,+44:31:52.8,148.9,70.1,SXT4,765
NGC 4051,30.83,...,14.7,Tully-Fisher,2003astro.ph.10284R,03:09.6,+44:31:52.8,148.9,70.1,SXT4,765
NGC 4051,30.86,...,14.9,Tully-Fisher,2003astro.ph.10284R,03:09.6,+44:31:52.8,148.9,70.1,SXT4,765
NGC 4051,31.2,...,17.4,Tully-Fisher,2003astro.ph.10284R,03:09.6,+44:31:52.8,148.9,70.1,SXT4,765
NGC 4051,31.68,...,21.7,Tully-Fisher,LEDA [Nov 2006],03:09.6,+44:31:52.8,148.9,70.1,SXT4,765
"NGC 4068; UGC 07047",28.17,...,4.31,TRGB,2006AJ....131.1361K,04:00.8,+52:35:18.0,138.9,63,IA.9,283
"NGC 4068; UGC 07047",28.6,0.39,5.25,BS,1997AstL...23..656G,04:00.8,+52:35:18.0,138.9,63,IA.9,283
NGC 4085,31.54,...,20.3,Tully-Fisher,2003astro.ph.10284R,05:22.7,+50:21:10.1,140.6,65.2,SXS5*$,817
NGC 4085,31.59,...,20.8,Tully-Fisher,2003astro.ph.10284R,05:22.7,+50:21:10.1,140.6,65.2,SXS5*$,817
NGC 4085,31.64,...,21.3,Tully-Fisher,2003astro.ph.10284R,05:22.7,+50:21:10.1,140.6,65.2,SXS5*$,817
NGC 4085,31.76,...,22.5,Tully-Fisher,2003astro.ph.10284R,05:22.7,+50:21:10.1,140.6,65.2,SXS5*$,817
NGC 4088,30.93,0.07,15.3,Sosies,2002A&A...393...57T,05:34.2,+50:32:20.5,140.3,65,SXT4,825
NGC 4088,30.43,...,12.2,Tully-Fisher,2003astro.ph.10284R,05:34.2,+50:32:20.5,140.3,65,SXT4,825
NGC 4088,30.66,...,13.6,Tully-Fisher,2003astro.ph.10284R,05:34.2,+50:32:20.5,140.3,65,SXT4,825
NGC 4088,30.72,...,13.9,Tully-Fisher,2003astro.ph.10284R,05:34.2,+50:32:20.5,140.3,65,SXT4,825
NGC 4088,30.85,...,14.8,Tully-Fisher,2003astro.ph.10284R,05:34.2,+50:32:20.5,140.3,65,SXT4,825
NGC 4088,31.13,...,16.8,Tully-Fisher,LEDA [April 2006],05:34.2,+50:32:20.5,140.3,65,SXT4,825
NGC 4100,31.1,...,16.6,Tully-Fisher,2003astro.ph.10284R,06:08.1,+49:34:59.3,141.1,65.9,PSAT4,1138
NGC 4100,31.13,...,16.8,Tully-Fisher,2003astro.ph.10284R,06:08.1,+49:34:59.3,141.1,65.9,PSAT4,1138
NGC 4100,31.27,...,17.9,Tully-Fisher,2003astro.ph.10284R,06:08.1,+49:34:59.3,141.1,65.9,PSAT4,1138
NGC 4100,31.46,...,19.6,Tully-Fisher,2003astro.ph.10284R,06:08.1,+49:34:59.3,141.1,65.9,PSAT4,1138
NGC 4100,31.61,...,21.1,Tully-Fisher,2003astro.ph.10284R,06:08.1,+49:34:59.3,141.1,65.9,PSAT4,1138
NGC 4100,31.7,...,21.9,Tully-Fisher,2003astro.ph.10284R,06:08.1,+49:34:59.3,141.1,65.9,PSAT4,1138
NGC 4100,31.76,...,22.5,Tully-Fisher,LEDA [Nov 2006],06:08.1,+49:34:59.3,141.1,65.9,PSAT4,1138
NGC 4102,31.43,...,19.3,Tully-Fisher,2003astro.ph.10284R,06:23.1,+52:42:39.4,138.1,63.1,SXS3$,911
NGC 4102,31.56,...,20.5,Tully-Fisher,2003astro.ph.10284R,06:23.1,+52:42:39.4,138.1,63.1,SXS3$,911
NGC 4102,31.68,...,21.7,Tully-Fisher,2003astro.ph.10284R,06:23.1,+52:42:39.4,138.1,63.1,SXS3$,911
NGC 4102,31.92,...,24.2,Tully-Fisher,2003astro.ph.10284R,06:23.1,+52:42:39.4,138.1,63.1,SXS3$,911
NGC 4105,32.12,0.17,26.5,SBF,2001ApJ...546..681T,06:40.8,-29:45:36.8,291.5,32.1,E.3,1688
NGC 4105,32.16,0.17,27.1,SBF,2001MNRAS.327.1004B,06:40.8,-29:45:36.8,291.5,32.1,E.3,1688
NGC 4105,32.05,...,25.7,FP,LEDA [April 2006],06:40.8,-29:45:36.8,291.5,32.1,E.3,1688
NGC 4105,32.61,0.41,33.3,FP,2001MNRAS.327.1004B,06:40.8,-29:45:36.8,291.5,32.1,E.3,1688
NGC 4111,30.88,0.23,15,SBF,2001ApJ...546..681T,07:03.1,+43:03:55.4,149.5,71.7,LAR+*/,849
NGC 4125,31.89,0.25,23.9,SBF,2001ApJ...546..681T,08:06.0,+65:10:26.9,130.2,51.3,E.6.P,1468
NGC 4125,31.96,0.25,24.7,SBF,2001MNRAS.327.1004B,08:06.0,+65:10:26.9,130.2,51.3,E.6.P,1468
NGC 4125,31.02,...,16,FP,LEDA [April 2006],08:06.0,+65:10:26.9,130.2,51.3,E.6.P,1468
