Galaxy Name,m-M,err,D,Method,REFCODE,RA,Dec,GLON,GLAT,Type (RC3),Vgsr (RC3)
,(mag),(mag),(Mpc),,,(J2000),(J2000),,,,(km/s)
UGC 07356,29.12,0.18,6.7,SBF,2001A&A...380...90J,19:09.4,+47:05:27.5,138.4,69.1,I..9?,331
NGC 4260,32.88,0.11,37.7,Sosies,2002A&A...393...57T,19:22.2,+06:05:55.2,281.6,67.6,SBS1,1877
NGC 4261,32.34,0.19,29.4,SBF,2003ApJ...583..712J,19:23.2,+05:49:30.8,281.8,67.4,E.2+,2130
NGC 4261,32.5,0.19,31.6,SBF,2001ApJ...546..681T,19:23.2,+05:49:30.8,281.8,67.4,E.2+,2130
NGC 4261,32.51,0.19,31.8,SBF,2001MNRAS.327.1004B,19:23.2,+05:49:30.8,281.8,67.4,E.2+,2130
NGC 4261,32.52,0.41,31.9,FP,2001MNRAS.327.1004B,19:23.2,+05:49:30.8,281.8,67.4,E.2+,2130
NGC 4261,32.55,...,32.4,FP,LEDA [April 2006],19:23.2,+05:49:30.8,281.8,67.4,E.2+,2130
NGC 4262,30.82,...,14.6,GC radius,2005ApJ...634.1002J,19:30.6,+14:52:39.7,270.1,75.7,LBS-$,1309
IC 0779,30.32,...,11.6,TRGB,2006AJ....131.1361K,19:38.8,+29:52:59.2,189.5,82.5,S?,334
NGC 4267,30.76,...,14.2,GC radius,2005ApJ...634.1002J,19:45.3,+12:47:54.0,274,73.9,LBS-$,942
NGC 4273,32.77,0.39,35.8,Sosies,2002A&A...393...57T,19:56.1,+05:20:35.9,282.5,67,SBS5,2304
NGC 4278,30,0.19,10,PNLF,2002ApJ...577...31C,20:06.8,+29:16:50.7,193.8,82.8,E.1+,647
NGC 4278,30.04,0.16,10.2,PNLF,1996ApJ...462....1J,20:06.8,+29:16:50.7,193.8,82.8,E.1+,647
NGC 4278,30.61,0.14,13.2,GCLF,1996AJ....112.1409F,20:06.8,+29:16:50.7,193.8,82.8,E.1+,647
NGC 4278,31.13,0.11,16.8,GCLF,2001AJ....121.2950K,20:06.8,+29:16:50.7,193.8,82.8,E.1+,647
NGC 4278,30.87,0.2,14.9,SBF,2003ApJ...583..712J,20:06.8,+29:16:50.7,193.8,82.8,E.1+,647
NGC 4278,31.03,0.2,16.1,SBF,2001ApJ...546..681T,20:06.8,+29:16:50.7,193.8,82.8,E.1+,647
