Galaxy Name,m-M,err,D,Method,REFCODE,RA,Dec,GLON,GLAT,V helio (z)
,(mag),(mag),(Mpc),,,(J2000),(J2000),,,(km/s)
SN HST05Dic,42.89*,0.18,2310,SNIa,2006astro.ph.11572R,35:49.6,+62:10:11.96,126.1,54.9,136996
SN HST05Gab,44.67*,0.18,4052,SNIa,2006astro.ph.11572R,36:13.8,+62:12:07.56,126,54.8,190666
SN HST05Str,44.77*,0.19,4475,SNIa,2006astro.ph.11572R,36:20.6,+62:10:50.58,126,54.9,180830
SN HST05Koe,45.17*,0.23,4849,SNIa,2006astro.ph.11572R,36:22.9,+62:18:23.20,126,54.7,199408
SN HST05Fer,43.99*,0.27,3109,SNIa,2006astro.ph.11572R,36:25.1,+62:15:23.84,126,54.8,181773
GOODS J123625.99+620655.5,43.01*,0.25,2439,SNIa,2006astro.ph.11572R,36:25.9,+62:06:55.6,126,54.9,137286
GOODS J123625.99+620655.5,43.07*,0.21,2507,SNIa,2004ApJ...607..665R,36:25.9,+62:06:55.6,126,54.9,137286
SN HST04Yow,42.23*,0.32,1913,SNIa,2006astro.ph.11572R,36:34.3,+62:12:12.95,125.9,54.8,108330
SN HST04Man,43.96*,0.29,3341,SNIa,2006astro.ph.11572R,36:34.8,+62:15:49.1,125.9,54.8,164669
GOODS J123644.13+621245.2,45.35*,0.35,5064,SNIa,2006astro.ph.11572R,36:44.1,+62:12:44.8,125.9,54.8,205849
GOODS J123644.13+621245.2,45.53*,0.35,5502,SNIa,2004ApJ...607..665R,36:44.1,+62:12:44.8,125.9,54.8,205849
*MDS uhdfk-27,42.14*,0.19,1817,SNIa,2004ApJ...607..665R,36:49.7,+62:13:13.1,125.9,54.8,110900
*MDS uhdfk-27,42.24*,0.2,1902,SNIa,2006astro.ph.11572R,36:49.7,+62:13:13.1,125.9,54.8,110900
SN HST04Sas,44.90*,0.19,3996,SNIa,2006astro.ph.11572R,36:54.1,+62:08:22.8,125.9,54.9,210463
SN HST04Tha,43.85*,0.27,3013,SNIa,2006astro.ph.11572R,36:55.2,+62:13:04.05,125.9,54.8,175349
[TBF2002] J123655.35+621246.1,43.98*,0.34,3206,SNIa,2006astro.ph.11572R,36:55.4,+62:12:46.1,125.9,54.8,174944
[TBF2002] J123655.35+621246.1,44.06*,0.26,3326,SNIa,2004ApJ...607..665R,36:55.4,+62:12:46.1,125.9,54.8,174944
*GOODS J123655.45+621311.6,44.28*,0.31,3673,SNIa,2004ApJ...607..665R,36:55.4,+62:13:11.4,125.9,54.8,175349
*GOODS J123655.45+621311.6,44.30*,0.27,3707,SNIa,2006astro.ph.11572R,36:55.4,+62:13:11.4,125.9,54.8,175349
SN HST05Lan,44.97*,0.2,4423,SNIa,2006astro.ph.11572R,36:56.7,+62:12:53.33,125.9,54.8,199408
SN HST05Red,43.64*,0.39,2441,SNIa,2006astro.ph.11572R,37:01.7,+62:12:23.98,125.8,54.8,196346
H-ZSNS J123704.27+622624.9,42.74*,0.2,2355,SNIa,2004ApJ...607..665R,37:04.3,+62:26:24.9,125.8,54.6,115305
SN HST05Spo,43.45*,0.2,2663,SNIa,2006astro.ph.11572R,37:06.5,+62:15:11.70,125.8,54.8,162961
GOODS J123709.12+621129.4,44.92*,0.31,4119,SNIa,2006astro.ph.11572R,37:09.1,+62:11:29.4,125.8,54.9,207201
GOODS J123709.12+621129.4,45.05*,0.25,4373,SNIa,2004ApJ...607..665R,37:09.1,+62:11:29.4,125.8,54.9,207201
GOODS J123715.09+621334.6,43.64*,0.25,2815,SNIa,2006astro.ph.11572R,37:15.1,+62:13:34.1,125.8,54.8,169623
GOODS J123715.09+621334.6,43.64*,0.25,2815,SNIa,2004ApJ...607..665R,37:15.1,+62:13:34.1,125.8,54.8,169623
GOODS J123719.68+621837.6,44.64*,0.25,3741,SNIa,2006astro.ph.11572R,37:19.7,+62:18:37.6,125.8,54.7,201984
GOODS J123719.68+621837.6,45.20*,0.2,4841,SNIa,2004ApJ...607..665R,37:19.7,+62:18:37.6,125.8,54.7,201984
SN HST04Eag,44.52*,0.19,3969,SNIa,2006astro.ph.11572R,37:20.8,+62:13:41.50,125.8,54.8,181773
GOODS J123725.06+621317.5,43.19*,0.24,2602,SNIa,2006astro.ph.11572R,37:25.1,+62:13:17.5,125.8,54.8,141545
GOODS J123725.06+621317.5,43.19*,0.28,2602,SNIa,2004ApJ...607..665R,37:25.1,+62:13:17.5,125.8,54.8,141545
GOODS J123728.36+622040.0,44.71*,0.29,4089,SNIa,2006astro.ph.11572R,37:28.4,+62:20:40.0,125.7,54.7,192415
GOODS J123728.36+622040.0,44.84*,0.3,4339,SNIa,2004ApJ...607..665R,37:28.4,+62:20:40.0,125.7,54.7,192415
GOODS J123728.95+621127.8,43.87*,0.2,3071,SNIa,2004ApJ...607..665R,37:28.9,+62:11:27.8,125.8,54.9,173453
GOODS J123748.40+621335.2,43.67*,0.21,2946,SNIa,2006astro.ph.11572R,37:48.4,+62:13:34.9,125.7,54.8,162961
GOODS J123748.40+621335.2,43.86*,0.22,3217,SNIa,2004ApJ...607..665R,37:48.4,+62:13:34.9,125.7,54.8,162961
SN HST04Pat,44.67*,0.36,4360,SNIa,2006astro.ph.11572R,38:09.0,+62:18:47.24,125.6,54.7,176949
1ES 1248-296,41.57*,. . .,1504,BL Lac M,2005ApJ...635..173S,51:34.9,-29:58:42.9,303,32.9,91379
1ES 1255+244,39.09*,. . .,576,BL Lac M,2005ApJ...635..173S,57:31.9,+24:12:40.1,328.5,86.8,39316
GRB 050502,48.06*,0.67,8539,GRB,2006astro.ph.12285S,29:46.3,+42:40:27.2,98.8,72.6,274781
GRB 060206,46.63*,0.64,4196,GRB,2006astro.ph.12285S,31:43.4,+35:03:03.2,78,78.3,277151
GRB 990510,45.46*,0.4,4720,GRB,2006astro.ph.12285S,38:03.0,-80:29:44.0,304.9,-17.8,223495
GRB 990510,47.13**,0.42,7434,GRB,2006astro.ph..9262M,38:03.0,-80:29:44.0,304.9,-17.8,223495
H-ZSNS J134336.92+021930.6,42.36*,0.25,2073,SNIa,2004ApJ...607..665R,43:36.9,+02:19:30.6,331.9,62.2,102878
H-ZSNS J134435.97-001949.3,41.76*,0.23,1606,SNIa,2004ApJ...607..665R,44:35.9,-00:19:49.3,330,59.7,97230
H-ZSNS J134556.16+022653.7,42.25*,0.19,1885,SNIa,2004ApJ...607..665R,45:56.2,+02:26:53.7,333.1,62.1,114451
H-ZSNS J134620.89+020240.4,42.78*,0.26,2193,SNIa,2004ApJ...607..665R,46:20.9,+02:02:40.4,332.9,61.7,137286
SCP J134709.90+022357.5,43.85*,0.19,3218,SNIa,2004ApJ...607..665R,47:09.9,+02:23:57.5,333.6,61.9,161922
H-ZSNS J134744.72+022057.2,43.35*,0.3,2673,SNIa,2004ApJ...607..665R,47:44.7,+02:20:57.2,333.9,61.8,152202
GRB 020405,43.99**,0.67,2713,GRB,2006astro.ph..9262M,58:10.0,-31:23:00.0,319.3,29.4,144289
GRB 020405,43.68*,0.51,3222,GRB,2006astro.ph.12285S,58:10.0,-31:23:00.0,319.3,29.4,144289
SCP J140157.75+044342.4,42.68*,0.19,2227,SNIa,2004ApJ...607..665R,01:57.8,+04:43:42.4,342.9,62,122445
MS 1407.9+5954,42.15*,. . .,1799,BL Lac M,2005ApJ...635..173S,09:23.5,+59:39:40.8,105.9,54.8,114595
[HSP2005] J141618.22+521626.09,43.652*,0.254,2958,SNIa,2006A&A...447...31A,16:18.2,+52:16:26.1,96.4,60.3,160402
LSSP J141633.45+522030.5,40.999*,0.033,1227,SNIa,2006A&A...447...31A,16:33.5,+52:20:30.5,96.4,60.2,74949
[HSP2005] J141635.93+522844.20,41.259*,0.01,1336,SNIa,2006A&A...447...31A,16:35.9,+52:28:44.2,96.6,60.1,84700
[HSP2005] J141639.10+530535.66,43.954*,0.268,3168,SNIa,2006A&A...447...31A,16:39.1,+53:05:35.7,97.4,59.6,174944
[AGR2006] J141651.96+524845.7,43.176*,0.077,2525,SNIa,2006A&A...447...31A,16:51.9,+52:48:45.7,97,59.8,146997
[HSP2005] J141657.90+522246.53,43.287*,0.075,2626,SNIa,2006A&A...447...31A,16:57.9,+52:22:46.5,96.4,60.1,149630
[AGR2006] J141746.11+521603.3,42.796*,0.039,2251,SNIa,2006A&A...447...31A,17:46.1,+52:16:03.4,96.1,60.1,132875
GSS 074_5532,44.673*,0.533,4280,SNIa,2006A&A...447...31A,17:48.4,+52:28:13.7,96.3,60,180830
[AGR2006] J141750.03+525748.9,43.030*,0.06,2492,SNIa,2006A&A...447...31A,17:50.0,+52:57:48.9,97,59.6,134362
