Galaxy Name,m-M,err,D,Method,REFCODE,RA,Dec,GLON,GLAT,V helio (z)
,(mag),(mag),(Mpc),,,(J2000),(J2000),,,(km/s)
SNLS 03D4cw,39.11,0.55,664,SNII,2006ApJ...645..841N,16:11.6,-17:14:00.7,40.1,-52.9,42726
[HSP2005] J221614.47-172344.37,43.353*,0.076,2615,SNIa,2006A&A...447...31A,16:14.5,-17:23:44.4,39.9,-53,157295
[HSP2005] J221634.60-171613.55,43.532*,0.304,2798,SNIa,2006A&A...447...31A,16:34.6,-17:16:13.6,40.1,-53,160520
[AGR2006] J221640.18-180951.8,42.562*,0.09,2044,SNIa,2006A&A...447...31A,16:40.2,-18:09:51.8,38.8,-53.3,130153
[HSP2005] J221641.87-175534.54,43.023*,0.086,2374,SNIa,2006A&A...447...31A,16:41.9,-17:55:34.5,39.1,-53.3,144982
[AGR2006] J221644.66-175002.3,44.000*,0.29,3218,SNIa,2006A&A...447...31A,16:44.7,-17:50:02.4,39.3,-53.2,176052
SSA 22a MD46,46.76**,0.56,3903,HII LF,2005MNRAS.356.1117S,17:27.3,+00:18:10.0,63.1,-44,265987
[AGR2006] J221731.04-173746.9,42.746*,0.035,2177,SNIa,2006A&A...447...31A,17:31.0,-17:37:46.9,39.7,-53.3,135393
SSA 22a D03,49.71**,0.43,15200,HII LF,2005MNRAS.356.1117S,17:32.4,+00:11:32.9,63,-44,265909
SSA 22a MD041,48.96**,0.85,13870,HII LF,2005MNRAS.356.1117S,17:39.9,+00:17:11.0,63.1,-44,245566
GRB 060604,46.48*,0.63,5372,GRB,2006astro.ph.12285S,28:58.0,-10:54:00.0,51.8,-52.8,258562
GRB 050820,46.70*,0.66,6057,GRB,2006astro.ph.12285S,29:38.2,+19:33:35.1,82.8,-32,257107
GRB 990712,<42.13**,0.33,1358,GRB,2006astro.ph..9262M,31:53.1,-73:24:28.6,315.3,-40.2,103458
GRB 990712,41.63*,0.53,1478,GRB,2006astro.ph.12285S,31:53.1,-73:24:28.6,315.3,-40.2,103458
DSF 2237+116a C02,47.73**,0.25,5764,HII LF,2005MNRAS.356.1117S,40:08.3,+11:49:04.8,79.3,-39.7,269445
GRB 020903,40.79*,1.14,1151,GRB,2006astro.ph.12285S,49:27.0,-20:54:00.0,38.9,-61.5,65808
GRB 010921,41.71**,0.62,1106,GRB,2006astro.ph..9262M,55:59.9,+40:55:52.8,100.5,-16.9,106696
GRB 010921,42.35*,0.6,2034,GRB,2006astro.ph.12285S,55:59.9,+40:44:42.8,100.5,-16.9,106696
PKS 2254+074,39.93*,. .,814,BL Lac M,2005ApJ...635..173S,57:17.3,+07:43:12.3,80.4,-45.5,51630
GRB 051111,44.58*,0.69,3232,GRB,2006astro.ph.12285S,12:33.2,+18:22:29.1,92.4,-38.6,219846
1ES 2326+174,40.17*,. . .,892,BL Lac M,2005ApJ...635..173S,29:03.3,+17:43:30.0,96.6,-40.9,57180
H-ZSNS J233035.80+001640.0,44.19*,0.34,3088,SNIa,2004ApJ...607..665R,30:35.8,+00:16:40.0,84.3,-56.4,199408
H-ZSNS J233041.36+001842.7,42.75*,0.24,2365,SNIa,2004ApJ...607..665R,30:41.4,+00:18:42.7,84.4,-56.4,115305
H-ZSNS J233153.03+000932.3,41.00*,0.41,1238,SNIa,2004ApJ...607..665R,31:53.0,+00:09:32.3,84.7,-56.7,72539
GRB 051022,43.95*,0.42,3426,GRB,2006astro.ph.12285S,56:00.0,+19:36:00.0,105.4,-41.4,158381
GRB 980703,44.31**,0.45,2702,GRB,2006astro.ph..9262M,59:05.0,+08:33:36.0,101.5,-52.1,176578
GRB 980703,44.07*,0.4,3314,GRB,2006astro.ph.12285S,59:05.0,+08:33:36.0,101.5,-52.1,176578
"H 2356-309; LEDA 141426",39.46*,. . .,669,BL Lac M,2005ApJ...635..173S,59:07.9,-30:37:41.4,12.8,-78,45455
SN 2003XX,43.97*,0.29,3216,SNIa,2006astro.ph.11572R,XX,XX,XX,XX,173410
