Row, Column, g-band
525.984000,184.434000,23.645950
915.248100,1341.869000,23.241510
1051.190000,450.510300,23.374400
593.646800,265.503800,23.365320
419.058000,753.231000,23.376030
299.960400,584.336700,25.117570
1156.768000,343.485100,25.111740
1034.659000,179.570600,23.885080
943.651300,211.918600,23.317400
732.526100,1208.568000,23.958210
607.493400,1417.670000,23.884500
462.216300,1430.292000,23.081430
292.733900,510.451300,22.816560
261.170000,958.432800,23.281360
240.149400,1769.077000,23.119290
102.875800,1272.895000,22.316990
92.879520,435.497500,22.384630
85.066120,582.854500,22.888260
1143.857000,250.341400,23.891700
1130.708000,562.736100,24.902840
1026.636000,1034.278000,23.991170
993.404500,259.585300,25.594000
444.204800,1967.094000,23.632260
1096.605000,1834.088000,22.776060
1085.069000,1705.769000,25.846680
905.935100,1399.543000,23.172450
899.645300,1785.998000,25.057330
713.824800,1031.988000,24.948220
654.275600,1606.703000,23.575100
605.524900,1633.154000,23.555130
344.710800,793.342700,25.042250
258.051900,644.376000,22.634860
229.074000,497.435400,23.281830
182.976900,459.884600,22.476070
114.272600,1624.583000,22.933520
426.915000,1062.827000,23.248720
729.625800,568.800400,21.516440
142.073200,1504.597000,20.733090
618.418300,1476.769000,16.884240
686.921900,1285.406000,22.118030
720.348600,1090.902000,25.204260
1029.164000,384.515900,23.428020
186.398700,1228.299000,21.905940
708.896200,1137.422000,23.414040
343.709300,1612.552000,19.558140
353.664600,1620.553000,25.424890
467.927700,1067.844000,17.492080
1015.120000,405.535900,15.579400
1341.332000,1694.614000,15.272160
680.631300,1158.149000,19.975320
87.763150,1712.108000,22.164320
693.021100,311.183900,21.879980
451.070300,1065.387000,16.660210
87.789730,1725.890000,17.126830
916.221700,1416.730000,20.842350
331.747800,1117.355000,18.752950
606.077900,1722.209000,22.043520
71.036340,1182.286000,22.273570
404.401200,344.433800,20.727730
576.109700,235.432100,25.426700
593.708700,405.526600,20.269410
1296.789000,1975.382000,17.077370
684.877300,825.875900,18.054890
565.346600,1611.130000,22.940320
1019.070000,1453.792000,22.331220
1165.757000,1905.778000,21.879950
606.562400,584.511600,20.014760
599.619800,1352.652000,23.495450
236.854000,1265.476000,23.008980
637.219100,1845.911000,19.937880
516.094200,1454.146000,16.223970
312.614100,1802.640000,23.209350
644.078200,1163.285000,17.583980
354.120000,1971.389000,20.074520
122.109100,1725.130000,19.881210
106.930300,850.468600,20.058390
1000.029000,89.568200,20.683990
906.299400,1080.953000,21.734420
518.960900,1153.652000,20.351440
453.401100,1389.139000,22.448600
439.252700,1146.526000,23.155980
397.594200,662.172900,19.995670
185.904700,1028.175000,21.234520
98.832430,1790.244000,22.391660
756.005400,611.977700,19.891510
562.548500,297.042700,16.491050
1363.965000,810.827300,19.767770
1197.803000,198.052300,22.059840
1287.354000,1773.713000,22.304710
1308.288000,1303.228000,23.486600
1325.038000,239.856700,21.780760
1284.736000,442.317100,22.300470
1251.471000,594.099100,21.760140
1364.056000,810.743200,19.766560
1318.614000,1799.237000,22.549920
1264.190000,1728.060000,22.574720
1362.974000,1905.159000,21.572150
1077.572000,1127.081000,25.362420
1068.712000,1099.361000,24.721690
1225.158000,569.043600,26.169980
1342.381000,1751.565000,24.695330
1315.593000,1549.261000,25.072380
672.817500,471.171500,24.827560
1057.533000,1773.443000,24.270430
1020.538000,1068.461000,15.636630
1311.148000,830.097000,20.774770
1430.109000,203.689500,19.376170
152.816300,43.962260,19.844180
41.245740,22.815970,22.306190
1429.976000,203.763100,19.381000
1020.538000,1068.462000,15.610030
1020.611000,1068.371000,15.610180
1311.148000,830.097000,20.774770
1375.908000,1421.792000,19.224580
119.840100,209.679100,20.505030
142.938000,1451.438000,20.145860
68.018970,1489.774000,19.751530
24.617500,910.733900,19.523180
979.356500,1112.016000,24.419620
678.600400,1094.422000,22.867950
824.572700,616.811000,22.941090
1019.367000,1127.609000,22.534600
142.980700,1451.410000,20.148760
1335.023000,1675.302000,22.259150
1020.610000,1068.369000,15.624770
1375.966000,1421.759000,19.250050
702.223500,360.741900,22.822260
119.951500,209.596800,20.495520
339.589100,1461.502000,20.364250
68.060330,1489.757000,19.745330
759.170200,783.901300,22.607060
1313.883000,1856.633000,22.625870
1373.978000,2010.119000,21.424830
1412.995000,1724.851000,17.748090
1088.963000,993.479800,17.090340
1088.885000,993.573100,17.089850
1412.948000,1724.837000,17.732650
1088.964000,993.480000,17.091980
594.249200,934.373500,25.798440
440.120300,936.225200,26.189030
1430.859000,380.689400,23.052290
1445.741000,1224.849000,23.592930
33.317430,1137.048000,22.849860
1412.995000,1724.851000,17.748090
24.686890,910.661800,19.543130
87.789730,1725.890000,17.126710
87.758340,1725.871000,17.126720
68.944000,1386.510000,22.779330
136.173400,1842.936000,25.878250
1290.883000,771.348800,23.746110
1208.544000,652.286900,25.666240
80.055840,1112.475000,24.826030
76.507620,1831.374000,23.543470
1016.232000,1242.121000,26.146740
980.215400,2006.892000,26.156510
736.981500,281.433400,25.772690
